data,ipca,meta,selic,ibcbr,ibcbrT,LibcbrT,outgap,Loutgap,juroreal,inflacao,jlag
2006-11-01,3.02,4.5,13.65,118.67,118.70473442809248,4.775782188313613,-0.03473442809247729,5.643433634343609e-4,10.318384779654455,-1.48,10.352508231648262
2006-12-01,3.14,4.5,13.19,116.3,119.15090345581909,4.779544575563139,-2.8509034558190933,-0.02337151603852039,9.744037230948233,-1.3599999999999999,10.318384779654455
2007-01-01,2.99,4.5,13.13,114.79,119.59527500117721,4.783279527911045,-4.805275001177208,-0.04017515583363984,9.845616079231,-1.5099999999999998,9.744037230948233
2007-02-01,3.02,4.5,12.93,113.33,120.03729397305632,4.786982717004938,-6.7072939730563235,-0.0566788002600811,9.619491360900811,-1.48,9.845616079231
2007-03-01,2.96,4.5,12.74,125.11,120.47607158069297,4.790647024551049,4.633928419307026,0.03854632577825967,9.498834498834508,-1.54,9.619491360900811
2007-04-01,3,4.5,12.58,120.29,120.91025324902007,4.794261396227812,-0.6202532490200667,-0.00435590222183091,9.300970873786408,-1.5,9.498834498834508
2007-05-01,3.18,4.5,12.43,123.9,121.33880620355517,4.797817454541839,2.56119379644484,0.02165733409325732,8.964915681333597,-1.3199999999999998,9.300970873786408
2007-06-01,3.69,4.5,12.03,122.38,121.76065459667352,4.801306519506535,0.6193454033264771,0.005824438527859854,8.043205709325886,-0.81,8.964915681333597
2007-07-01,3.74,4.5,11.73,127.85,122.1749004414307,4.804721415116836,5.6750995585693005,0.04613628662036007,7.701947175631396,-0.7599999999999998,8.043205709325886
2007-08-01,4.18,4.5,11.43,129.05,122.58068876097977,4.808055369842578,6.469311239020243,0.05214455632204462,6.959109234018035,-0.3200000000000003,7.701947175631396
2007-09-01,4.15,4.5,11.22,123.24,122.9775586826097,4.811304816062391,0.26244131739029797,0.00282885766607599,6.7882861257801075,-0.34999999999999964,6.959109234018035
2007-10-01,4.12,4.5,11.18,129.17,123.3654985913345,4.814469807304644,5.804501408665487,0.046659558939279755,6.780637725701122,-0.3799999999999999,6.7882861257801075
2007-11-01,4.19,4.5,11.18,125.88,123.74451509725954,4.817550593546163,2.1354849027404583,0.017778478650043006,6.7088972070256325,-0.3099999999999996,6.780637725701122
2007-12-01,4.46,4.5,11.18,122.43,124.11501790086598,4.820550665010917,-1.6850179008659723,-0.013011226925093489,6.433084434233205,-0.040000000000000036,6.7088972070256325
2008-01-01,4.56,4.5,11.18,121.86,124.47756500019759,4.82347474653945,-2.6175650001975868,-0.020601901719101257,6.331293037490449,0.05999999999999961,6.433084434233205
2008-02-01,4.61,4.5,11.18,121.91,124.83259737816606,4.82632665941488,-2.92259737816606,-0.02304359183782534,6.280470318325215,0.11000000000000032,6.331293037490449
2008-03-01,4.73,4.5,11.18,128.99,125.1803742423359,4.829108794232705,3.809625757664108,0.030626087744339614,6.158693784016034,0.23000000000000043,6.280470318325215
2008-04-01,5.04,4.5,11.37,129.48,125.5209518421204,4.831821941338992,3.959048157879593,0.03170448771905132,6.026275704493522,0.54,6.158693784016034
2008-05-01,5.58,4.5,11.63,128.92,125.85465098427704,4.834469017891455,3.065349015722944,0.024723039055782436,5.7302519416556175,1.08,6.026275704493522
2008-06-01,6.06,4.5,12.09,130.59,126.1820674094633,4.837055142748344,4.407932590536703,0.035007501483971915,5.685461059777475,1.5599999999999996,5.7302519416556175
2008-07-01,6.37,4.5,12.36,136.53,126.5040097297959,4.839587151645623,10.025990270204105,0.07695721905103703,5.631287017016073,1.87,5.685461059777475
2008-08-01,6.17,4.5,12.92,133.87,126.82159266382155,4.842074311395746,7.048407336178457,0.054794868402060715,6.357728171799937,1.67,5.631287017016073
2008-09-01,6.25,4.5,13.39,132.6,127.1366271794113,4.844531233062491,5.463372820588688,0.042805844689270955,6.719999999999993,1.75,6.357728171799937
2008-10-01,6.41,4.5,13.66,132.8,127.45141371716787,4.846976332908829,5.348586282832144,0.04186790413350483,6.813269429564883,1.9100000000000001,6.719999999999993
2008-11-01,6.39,4.5,13.64,124.58,127.76863211858425,4.849430999825838,-3.188632118584252,-0.02448291999983887,6.814550239684181,1.8899999999999997,6.813269429564883
2008-12-01,5.9,4.5,13.66,118.9,128.09133365475645,4.851919530197935,-9.191333654756448,-0.07363672650119835,7.327667610953714,1.4000000000000004,6.814550239684181
